as_of,market,barrio,bedroom_bucket,furnished_mode,price_band,band_lo_usd,band_hi_usd,n_active,arrivals_30d,left_market_30d,fast_exits_30d,median_days_listed_km,exited_median_days,n_events
2026-08-20,buenos-aires,Almagro,4,a,2,1313.53,1794.87,9,6,4,1,30.00,17.00,20
2026-08-20,buenos-aires,Almagro,4,a,4,2657.34,,16,7,4,2,,49.50,22
2026-08-20,buenos-aires,Almagro,4,n,0,,,18,13,12,3,34.00,27.00,43
2026-08-20,buenos-aires,Almagro,4,u,0,,,13,11,11,5,29.00,17.00,28
2026-08-20,buenos-aires,Almirante Brown,-1,a,0,,,151,232,695,33,30.00,35.00,1392
2026-08-20,buenos-aires,Almirante Brown,0,a,0,,,19,30,199,5,35.00,35.00,306
2026-08-20,buenos-aires,Almirante Brown,0,a,1,,263.16,5,8,47,0,38.00,40.00,72
2026-08-20,buenos-aires,Almirante Brown,0,a,2,263.16,392.16,5,9,37,2,29.00,35.00,73
2026-08-20,buenos-aires,Almirante Brown,0,a,3,392.16,664.45,8,11,48,2,31.00,34.00,76
2026-08-20,buenos-aires,Almirante Brown,0,a,4,664.45,,0,1,64,1,35.00,35.00,80
2026-08-20,buenos-aires,Almirante Brown,0,n,0,,,1,1,78,0,35.00,35.00,123
2026-08-20,buenos-aires,Almirante Brown,0,n,1,,258.90,1,1,18,0,39.00,47.00,29
2026-08-20,buenos-aires,Almirante Brown,0,n,2,258.90,328.95,0,0,20,0,33.00,38.50,33
2026-08-20,buenos-aires,Almirante Brown,0,n,3,328.95,532.89,0,0,14,0,35.00,48.50,28
2026-08-20,buenos-aires,Almirante Brown,0,n,4,532.89,,0,0,26,0,35.00,35.00,33
2026-08-20,buenos-aires,Almirante Brown,0,u,0,,,17,28,110,5,35.00,35.00,166
2026-08-20,buenos-aires,Almirante Brown,0,u,1,,297.73,6,11,21,1,35.00,35.00,36
2026-08-20,buenos-aires,Almirante Brown,0,u,2,297.73,441.56,7,10,21,2,32.00,32.00,41
2026-08-20,buenos-aires,Almirante Brown,0,u,3,441.56,980.39,3,5,32,1,31.00,35.00,44
2026-08-20,buenos-aires,Almirante Brown,0,u,4,980.39,,0,1,33,1,35.00,35.00,40
2026-08-20,buenos-aires,Almirante Brown,1,a,0,,,57,82,232,10,29.00,31.50,454
2026-08-20,buenos-aires,Almirante Brown,1,a,1,,271.19,5,10,63,2,29.00,31.00,108
2026-08-20,buenos-aires,Almirante Brown,1,a,2,271.19,339.74,17,24,48,1,32.00,36.00,108
2026-08-20,buenos-aires,Almirante Brown,1,a,3,339.74,432.78,15,22,65,2,28.00,29.00,113
2026-08-20,buenos-aires,Almirante Brown,1,a,4,432.78,,19,25,55,5,28.00,32.00,123
2026-08-20,buenos-aires,Almirante Brown,1,f,0,,,0,0,13,0,27.00,28.00,33
2026-08-20,buenos-aires,Almirante Brown,1,n,0,,,5,3,173,0,29.00,34.00,299
2026-08-20,buenos-aires,Almirante Brown,1,n,1,,262.30,1,0,50,0,29.00,35.50,76
2026-08-20,buenos-aires,Almirante Brown,1,n,2,262.30,326.80,0,0,39,0,35.00,38.00,67
2026-08-20,buenos-aires,Almirante Brown,1,n,3,326.80,424.84,2,2,40,0,27.00,30.00,78
2026-08-20,buenos-aires,Almirante Brown,1,n,4,424.84,,2,1,44,0,28.00,32.00,78
2026-08-20,buenos-aires,Almirante Brown,1,u,0,,,52,79,46,10,28.00,28.00,122
2026-08-20,buenos-aires,Almirante Brown,1,u,1,,288.46,10,18,9,2,26.00,28.00,28
2026-08-20,buenos-aires,Almirante Brown,1,u,2,288.46,360.66,14,22,9,1,29.00,28.00,29
2026-08-20,buenos-aires,Almirante Brown,1,u,3,360.66,450.16,12,17,15,2,29.00,29.00,30
2026-08-20,buenos-aires,Almirante Brown,1,u,4,450.16,,15,21,12,5,28.00,27.50,33
2026-08-20,buenos-aires,Almirante Brown,2,a,0,,,52,81,178,9,31.00,38.00,445
2026-08-20,buenos-aires,Almirante Brown,2,a,1,,392.16,13,25,49,7,29.00,36.00,114
2026-08-20,buenos-aires,Almirante Brown,2,a,2,392.16,459.02,8,15,40,1,30.00,41.00,103
2026-08-20,buenos-aires,Almirante Brown,2,a,3,459.02,598.07,15,20,45,0,35.00,37.00,108
2026-08-20,buenos-aires,Almirante Brown,2,a,4,598.07,,15,19,44,1,28.00,35.50,117
2026-08-20,buenos-aires,Almirante Brown,2,f,0,,,2,4,4,0,21.00,38.00,33
2026-08-20,buenos-aires,Almirante Brown,2,n,0,,,4,6,129,1,31.00,40.00,286
2026-08-20,buenos-aires,Almirante Brown,2,n,1,,392.16,1,2,34,1,28.00,41.00,76
2026-08-20,buenos-aires,Almirante Brown,2,n,2,392.16,459.02,0,1,30,0,30.00,40.00,70
2026-08-20,buenos-aires,Almirante Brown,2,n,3,459.02,565.52,3,3,29,0,33.00,35.00,66
2026-08-20,buenos-aires,Almirante Brown,2,n,4,565.52,,0,0,36,0,31.00,42.00,74
2026-08-20,buenos-aires,Almirante Brown,2,u,0,,,46,71,45,8,31.00,32.00,126
2026-08-20,buenos-aires,Almirante Brown,2,u,1,,393.44,11,21,15,6,31.00,32.00,31
2026-08-20,buenos-aires,Almirante Brown,2,u,2,393.44,491.80,9,15,11,1,39.00,50.00,28
2026-08-20,buenos-aires,Almirante Brown,2,u,3,491.80,645.16,17,21,7,0,35.00,31.00,32
2026-08-20,buenos-aires,Almirante Brown,2,u,4,645.16,,8,12,12,1,28.00,31.00,32
2026-08-20,buenos-aires,Almirante Brown,3,a,0,,,17,28,56,6,24.00,28.00,136
2026-08-20,buenos-aires,Almirante Brown,3,a,1,,571.43,3,5,12,1,21.00,37.50,36
2026-08-20,buenos-aires,Almirante Brown,3,a,2,571.43,689.66,5,11,13,3,20.00,28.00,31
2026-08-20,buenos-aires,Almirante Brown,3,a,3,689.66,896.55,5,6,9,0,26.00,27.00,33
2026-08-20,buenos-aires,Almirante Brown,3,a,4,896.55,,4,6,22,2,27.00,27.00,36
2026-08-20,buenos-aires,Almirante Brown,3,f,0,,,0,0,5,0,20.00,28.00,22
